id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43318329,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-01-04T00:00:00.000,solleciti
43318328,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00233930130,Comune di Cantù,22063,CO,81.00,2026-01-04T00:00:00.000,mg_rifiuti_ap
43318327,BNLIITRR,Worldline,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.71,2026-01-04T00:00:00.000,solleciti
43318326,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,185.10,2026-01-04T00:00:00.000,Tassa Auto
43318325,ABI02008,Unicredit S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.26,2026-01-04T00:00:00.000,solleciti
43318324,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,227.26,2026-01-04T00:00:00.000,RL_BIL_PAGOPAPOST
43318323,ABI03385,Isy Bank S.p.A.,00761890177,Comune di Brescia,25121,BS,32.00,2026-01-04T00:00:00.000,bollomobil
43318322,BNLIITRR,Worldline,82000950160,Comune di Bonate Sopra,24040,BG,126.04,2026-01-04T00:00:00.000,in_violazione_cds
43318321,ABI01030,Banca Monte dei Paschi di Siena,80018310179,Comune di Cellatica,25060,BS,148.90,2026-01-04T00:00:00.000,MENSA_RL
43318320,BNLIITRR,Worldline,80050050154,Regione Lombardia,20124,MI,722.40,2026-01-04T00:00:00.000,Tassa Auto
43318319,BPMOIT22,BPER Banca S.p.A.,04114370168,ASST Papa Giovanni XXIII,24127,BG,25.00,2026-01-04T00:00:00.000,TICKET_SANITARIO
43318318,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,185.60,2026-01-04T00:00:00.000,Tassa Auto
43318317,ABI08575,BCC AGROBRESCIANO SOC. COOP.,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,40.00,2026-01-04T00:00:00.000,TICKET_SANITARIO
43318316,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,106.11,2026-01-04T00:00:00.000,Tassa Auto
43318315,SELBIT2B,Banca Sella S.p.A.,00296180185,Comune di Pavia,27100,PV,350.00,2026-01-04T00:00:00.000,REFEZ
43318313,POSOIT22XXX,Banca Popolare di Sondrio,04114370168,ASST Papa Giovanni XXIII,24127,BG,25.00,2026-01-04T00:00:00.000,TICKET_SANITARIO
43318312,SATYLUL1,Satispay,02613080189,ASST di Pavia,27100,PV,25.00,2026-01-04T00:00:00.000,ASST727_CONCORSI
43318280,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,172.86,2026-01-04T00:00:00.000,Tassa Auto
43318279,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,167.76,2026-01-04T00:00:00.000,Tassa Auto
43318278,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,33.90,2026-01-04T00:00:00.000,ts_sanamm
43318271,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,80.41,2026-01-04T00:00:00.000,Tassa Auto
43318269,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.36,2026-01-04T00:00:00.000,solleciti
43318349,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,501.26,2026-01-04T00:00:00.000,Tassa Auto
43318348,ABI03069,Intesa Sanpaolo S.p.A,03029240151,Comune di Trezzano Sul Naviglio,20090,MI,120.00,2026-01-04T00:00:00.000,ads_votive
43318347,CIPBITMM,Nexi,84507570152,Comune di Lodi,26900,LO,11.00,2026-01-04T00:00:00.000,mg_tari
43318346,CIPBITMM,Nexi,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,68.86,2026-01-04T00:00:00.000,ATS321_DIFF
43318345,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,1.80,2026-01-04T00:00:00.000,pedaggi
43318344,POSOIT22XXX,Banca Popolare di Sondrio,00948230172,Comune di Piancogno,25052,BS,136.50,2026-01-04T00:00:00.000,app_mensascolastica
43318342,CIPBITMM,Nexi,00850450172,Comune di Orzinuovi,25034,BS,60.90,2026-01-04T00:00:00.000,in_violazione_cds
43318341,ABI03069,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,121.00,2026-01-04T00:00:00.000,TICKET_SANITARIO
43318340,ABI03069,Intesa Sanpaolo S.p.A,03519480150,Comune di Senago,20030,MI,18392.00,2026-01-04T00:00:00.000,UT_PRATICHE_EDILIZIE
43318339,SELBIT2B,Banca Sella S.p.A.,82000950160,Comune di Bonate Sopra,24040,BG,126.04,2026-01-04T00:00:00.000,in_violazione_cds
43318338,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1241.60,2026-01-04T00:00:00.000,ASST706_RETTE_RSA
43318337,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,72.57,2026-01-04T00:00:00.000,Tassa Auto
43318336,ABI03069,Intesa Sanpaolo S.p.A,09320530968,ASST Gaetano Pini CTO,20122,MI,17.90,2026-01-04T00:00:00.000,TICKET_SANITARIO
43318335,ABI03069,Intesa Sanpaolo S.p.A,00430660134,Comune di Erba,22036,CO,134.00,2026-01-04T00:00:00.000,sm_cu_temp
43318334,ABI03069,Intesa Sanpaolo S.p.A,09320530968,ASST Gaetano Pini CTO,20122,MI,17.80,2026-01-04T00:00:00.000,TICKET_SANITARIO
43318333,ABI03069,Intesa Sanpaolo S.p.A,01063800153,Comune di Giussano,20833,MB,94.00,2026-01-04T00:00:00.000,sm_cu_mp
43318332,CIPBITMM,Nexi,86502820151,Comune di Pero,20016,MI,49.69,2026-01-04T00:00:00.000,mg_violazioni_cds
43318331,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-01-04T00:00:00.000,solleciti
