id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44086387,IFSPIT21,ICONTO srl,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-31T00:00:00.000,MARCA_BOLLO_DIGITALE
44086386,ABI03069,Intesa Sanpaolo S.p.A,88001190177,Comune di Gambara,25020,BS,51.80,2026-01-31T00:00:00.000,MENSA_RL
44086385,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,20.00,2026-01-31T00:00:00.000,Tassa Auto
44086384,IFSPIT21,ICONTO srl,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-31T00:00:00.000,MARCA_BOLLO_DIGITALE
44086383,MOONITMMXXX,MOONEY S.P.A.,82000950160,Comune di Bonate Sopra,24040,BG,178.22,2026-01-31T00:00:00.000,in_violazione_cds
44086382,ABI03069,Intesa Sanpaolo S.p.A,85001870188,Comune di Vigevano,27029,PV,58.10,2026-01-31T00:00:00.000,ts_verbali_cds
44086381,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,20.00,2026-01-31T00:00:00.000,Tassa Auto
44086380,ABI03296,Banca Fideuram,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,14.12,2026-01-31T00:00:00.000,solleciti
44086379,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,93.03,2026-01-31T00:00:00.000,Tassa Auto
44086378,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,10.20,2026-01-31T00:00:00.000,pedaggi
44086377,ABI08430,CASSA RURALE ED ARTIGIANA DI CANTU' BCC SOC. COOP.,00559400130,Comune di Guanzate,22070,CO,57.00,2026-01-31T00:00:00.000,in_violazione_cds
44086376,ABI03069,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,39.20,2026-01-31T00:00:00.000,ts_sanamm
44086374,IFSPIT21,ICONTO srl,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-31T00:00:00.000,MARCA_BOLLO_DIGITALE
44086355,SELBIT2B,Banca Sella S.p.A.,80002130195,Provincia di Cremona,26100,CR,47.20,2026-01-31T00:00:00.000,mun_violazioni_cds
44086354,ABI03015,FinecoBank Banca Fineco S.p.A.,00623530136,Comune di Lecco,23900,LC,29.40,2026-01-31T00:00:00.000,mg_violazioni_cds
44086353,CIPBITMM,Nexi,00792720153,Comune di Garbagnate Milanese,20024,MI,29.40,2026-01-31T00:00:00.000,mg_violazioni_cds
44086352,WOLLNLB1,Worldpay BV,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,15.00,2026-01-31T00:00:00.000,ASST721_CART_CLI
44086351,ABI02008,Unicredit S.p.A,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,86.41,2026-01-31T00:00:00.000,sin_sollecito
44086350,WOLLNLB1,Worldpay BV,04114370168,ASST Papa Giovanni XXIII,24127,BG,152.00,2026-01-31T00:00:00.000,TICKET_SANITARIO
44086349,ABI08676,BCC DEL GARDA,00760050179,Comune di Bedizzole,25081,BS,115.50,2026-01-31T00:00:00.000,in_violazione_cds
44086346,SATYLUL1,Satispay,00828590158,Comune di San Donato Milanese,20097,MI,75.36,2026-01-31T00:00:00.000,REFEZ
44086345,ABI03069,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,27.00,2026-01-31T00:00:00.000,centricivici
44086344,IFSPIT21,ICONTO srl,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-31T00:00:00.000,MARCA_BOLLO_DIGITALE
44086343,MOONITMMXXX,MOONEY S.P.A.,00186490181,Comune di Voghera,27058,PV,46.35,2026-01-31T00:00:00.000,in_violazione_cds
44086342,BCITITMM,Intesa Sanpaolo S.p.A,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,70.00,2026-01-31T00:00:00.000,TICKET_SANITARIO
44086298,ABI03069,Intesa Sanpaolo S.p.A,00801220153,Comune di Bollate,20021,MI,516.00,2026-01-31T00:00:00.000,oneri
44086297,POSOIT22XXX,Banca Popolare di Sondrio,82001550167,Comune di Calolziocorte,23801,LC,16.80,2026-01-31T00:00:00.000,CIMITERI_VOTIVA_RL
44086296,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-31T00:00:00.000,MARCA_BOLLO_DIGITALE
44086295,CIPBITMM,Nexi,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,36.00,2026-01-31T00:00:00.000,TICKET_SANITARIO
44086294,BPMOIT22,BPER Banca S.p.A.,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,854.22,2026-01-31T00:00:00.000,ALER_PV
44086284,MOONITMMXXX,MOONEY S.P.A.,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,20.00,2026-01-31T00:00:00.000,ATS321_PREV_ALIM
44086278,ABI03296,Banca Fideuram,05017630152,ARIA S.p.A.,20154,MI,100.00,2026-01-31T00:00:00.000,CENED ricarica portafoglio
44086517,ABI03069,Intesa Sanpaolo S.p.A,00828590158,Comune di San Donato Milanese,20097,MI,44.00,2026-01-31T00:00:00.000,TRIBTARI
44086516,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,53.00,2026-01-31T00:00:00.000,mg_tari
44086515,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,150.00,2026-01-31T00:00:00.000,mg_tari
44086514,BCITITMM,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,10.00,2026-01-31T00:00:00.000,ASST926_CONC
44086513,ABI03069,Intesa Sanpaolo S.p.A,82001550167,Comune di Calolziocorte,23801,LC,16.80,2026-01-31T00:00:00.000,CIMITERI_VOTIVA_RL
44086512,BCITITMM,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,36.00,2026-01-31T00:00:00.000,TICKET_SANITARIO
44086511,ABI03069,Intesa Sanpaolo S.p.A,00828590158,Comune di San Donato Milanese,20097,MI,100.23,2026-01-31T00:00:00.000,REFEZ
44086510,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,107.00,2026-01-31T00:00:00.000,mg_tari
44086509,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,58.00,2026-01-31T00:00:00.000,mg_tari
