id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44103919,LB000484,Revolut Payments UAB,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.82,2026-02-01T00:00:00.000,solleciti
44103918,ABI03069,Intesa Sanpaolo S.p.A,00453990178,Comune di Bagnolo Mella,25021,BS,66.95,2026-02-01T00:00:00.000,dt_mensascolastica
44103917,SATYLUL1,Satispay,80050050154,Regione Lombardia,20124,MI,10.32,2026-02-01T00:00:00.000,Tassa Auto
44103916,ABI02008,Unicredit S.p.A,09322180960,ASST di Lodi,26900,LO,25.00,2026-02-01T00:00:00.000,TICKET_SANITARIO
44103915,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,121.45,2026-02-01T00:00:00.000,Tassa Auto
44103914,ABI02008,Unicredit S.p.A,00407800168,Comune di Trescore Balneario,24069,BG,1375.00,2026-02-01T00:00:00.000,servizicimiteriali
44103913,LB000484,Revolut Payments UAB,00801220153,Comune di Bollate,20021,MI,164.40,2026-02-01T00:00:00.000,pj_mensascolastica
44103910,ABI08692,CREDITO COOPERATIVO DI BRESCIA,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-01T00:00:00.000,ts_sanamm
44103909,LB000484,Revolut Payments UAB,00801220153,Comune di Bollate,20021,MI,147.96,2026-02-01T00:00:00.000,pj_mensascolastica
44103882,POSOIT22XXX,Banca Popolare di Sondrio,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,14.00,2026-02-01T00:00:00.000,solleciti
44103881,BCITITMM,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,25.00,2026-02-01T00:00:00.000,TICKET_SANITARIO
44103880,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-02-01T00:00:00.000,solleciti
44103879,ABI03385,Isy Bank S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.68,2026-02-01T00:00:00.000,solleciti
44103878,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,129.00,2026-02-01T00:00:00.000,Tassa Auto
44103877,ABI08430,CASSA RURALE ED ARTIGIANA DI CANTU' BCC SOC. COOP.,00630080133,Comune di Tavernerio,22038,CO,60.00,2026-02-01T00:00:00.000,pj_assistenzars
44103874,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,190.92,2026-02-01T00:00:00.000,Tassa Auto
44103873,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,135.58,2026-02-01T00:00:00.000,Tassa Auto
44103854,BPMOIT22,BPER Banca S.p.A.,04114370168,ASST Papa Giovanni XXIII,24127,BG,10.45,2026-02-01T00:00:00.000,TICKET_SANITARIO
44103853,BIC36019,American Express Payment Services,80050050154,Regione Lombardia,20124,MI,147.06,2026-02-01T00:00:00.000,Tassa Auto
44103852,ABI03032,Credito Emiliano SpA.,84507570152,Comune di Lodi,26900,LO,121.00,2026-02-01T00:00:00.000,mg_tari
44103837,LB000484,Revolut Payments UAB,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-02-01T00:00:00.000,solleciti
44103942,SELBIT2B,Banca Sella S.p.A.,84507570152,Comune di Lodi,26900,LO,123.00,2026-02-01T00:00:00.000,mg_tari
44103941,MOONITMMXXX,MOONEY S.P.A.,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-02-01T00:00:00.000,ASST703_TASSACONCORSO
44103940,CIPBITMM,Nexi,00432060135,Comune di Cernobbio,22012,CO,49.40,2026-02-01T00:00:00.000,mg_violazioni_cds
44103939,ABI08676,BCC DEL GARDA,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-01T00:00:00.000,ts_sanamm
44103938,BCITITMM,Intesa Sanpaolo S.p.A,03775660982,ASST del Garda,25015,BS,26.20,2026-02-01T00:00:00.000,TICKET_SANITARIO
44103937,SATYLUL1,Satispay,00761890177,Comune di Brescia,25121,BS,34.20,2026-02-01T00:00:00.000,ts_sanamm
44103936,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,122.55,2026-02-01T00:00:00.000,Tassa Auto
44103935,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,131.58,2026-02-01T00:00:00.000,Tassa Auto
44103934,ABI03069,Intesa Sanpaolo S.p.A,09319650967,ASST Ovest Milanese,20025,MI,25.00,2026-02-01T00:00:00.000,TICKET_SANITARIO
44103933,WOLLNLB1,Worldpay BV,02613080189,ASST di Pavia,27100,PV,25.40,2026-02-01T00:00:00.000,PRENOTA_SALUTE
44103932,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,123.84,2026-02-01T00:00:00.000,Tassa Auto
44103931,ABI03069,Intesa Sanpaolo S.p.A,00828590158,Comune di San Donato Milanese,20097,MI,45.00,2026-02-01T00:00:00.000,TRIBTARI
44103930,ABI03069,Intesa Sanpaolo S.p.A,03029240151,Comune di Trezzano Sul Naviglio,20090,MI,82.35,2026-02-01T00:00:00.000,app_mensascolastica
44103929,ABI03296,Banca Fideuram,01629400191,ASST di Cremona,26100,CR,36.00,2026-02-01T00:00:00.000,TICKET_SANITARIO
44103928,ABI03069,Intesa Sanpaolo S.p.A,03029240151,Comune di Trezzano Sul Naviglio,20090,MI,98.43,2026-02-01T00:00:00.000,app_mensascolastica
44103927,ABI03069,Intesa Sanpaolo S.p.A,03510140126,ATS dell'Insubria,21100,VA,107.21,2026-02-01T00:00:00.000,ATS322_SAN_AMM
44103926,CIPBITMM,Nexi,00316690197,Comune di Tornata,26030,CR,279.20,2026-02-01T00:00:00.000,alloggipopolari
44103925,CIPBITMM,Nexi,83503270155,Comune di Inzago,20065,MI,67.60,2026-02-01T00:00:00.000,app_mensascolastica
44103924,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,127.60,2026-02-01T00:00:00.000,os_verbali_pp
44103923,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,45.70,2026-02-01T00:00:00.000,os_verbali_pp
44103922,ABI03069,Intesa Sanpaolo S.p.A,00293540175,Comune di Travagliato,25039,BS,367.00,2026-02-01T00:00:00.000,mg_rend_catastali
44103921,ABI03069,Intesa Sanpaolo S.p.A,09314190969,ATS della Brianza,20900,MB,53.61,2026-02-01T00:00:00.000,ATS324_ECOFIN
44103920,PPAYITR1XXX,Postepay,03519480150,Comune di Senago,20030,MI,40.00,2026-02-01T00:00:00.000,vt_rappincstrad
44104100,PPAYITR1XXX,Postepay,09319690963,ASST Fatebenefratelli Sacco,20157,MI,26.20,2026-02-01T01:00:00.000,TICKET_SANITARIO
44104099,BCITITMM,Intesa Sanpaolo S.p.A,00549440139,Comune di Vertemate con Minoprio,22070,CO,70.00,2026-02-01T01:00:00.000,app_mensascolastica
44104098,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,137.33,2026-02-01T01:00:00.000,Tassa Auto
44104097,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,39.20,2026-02-01T01:00:00.000,ts_sanamm
44104096,CIPBITMM,Nexi,00623530136,Comune di Lecco,23900,LC,41.40,2026-02-01T01:00:00.000,mg_violazioni_cds
44104095,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,60.90,2026-02-01T01:00:00.000,ts_sanamm
44104059,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,478.25,2026-02-01T01:00:00.000,Tassa Auto
44104058,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,60.90,2026-02-01T01:00:00.000,ts_sanamm
44104057,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,296.70,2026-02-01T01:00:00.000,Tassa Auto
44104056,WOLLNLB1,Worldpay BV,88000970173,Comune di Offlaga,25020,BS,100.00,2026-02-01T01:00:00.000,app_mensascolastica
44104055,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,115.50,2026-02-01T01:00:00.000,ts_sanamm
