id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44221986,BCITITMM,Intesa Sanpaolo S.p.A,01629350198,ASST di Crema,26013,CR,25.00,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221985,TEAYITR1XXX,Telepass Pay,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-06T00:00:00.000,ts_sanamm
44221984,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,03510190121,ASST Valle Olona,21052,VA,17.90,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221983,CIPBITMM,Nexi,00828590158,Comune di San Donato Milanese,20097,MI,13.00,2026-02-06T00:00:00.000,ASILOISCR
44221982,BCITITMM,Intesa Sanpaolo S.p.A,03510050127,ASST Dei Sette Laghi,21100,VA,36.00,2026-02-06T00:00:00.000,PRENOTA_SALUTE
44221981,BPMOIT22,BPER Banca S.p.A.,85001810184,Comune di Garlasco,27026,PV,37.40,2026-02-06T00:00:00.000,in_violazione_cds
44221980,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,113.52,2026-02-06T00:00:00.000,Tassa Auto
44221979,ABI36080,Admiral Pay IP S.r.l.,00297960197,Comune di Cremona,26100,CR,77.10,2026-02-06T00:00:00.000,is_violazioni_cds
44221978,BNLIITRR,Worldline,80050050154,Regione Lombardia,20124,MI,1644.18,2026-02-06T00:00:00.000,Tassa Auto
44221977,ABI03015,FinecoBank Banca Fineco S.p.A.,03510050127,ASST Dei Sette Laghi,21100,VA,25.00,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221976,CIPBITMM,Nexi,80008750178,Provincia di Brescia,25121,BS,136.10,2026-02-06T00:00:00.000,os_verbali_pp
44221975,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,302.71,2026-02-06T00:00:00.000,RL_BIL_PAGOPAPOST
44221972,UNCRITMM,UniCredit S.p.A.,05017630152,ARIA S.p.A.,20154,MI,200.00,2026-02-06T00:00:00.000,CENED ricarica portafoglio
44221971,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,40.00,2026-02-06T00:00:00.000,arc_consalaovest
44221970,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.39,2026-02-06T00:00:00.000,solleciti
44221969,ABI05034,Banco BPM S.p.A.,84507570152,Comune di Lodi,26900,LO,73.60,2026-02-06T00:00:00.000,ads_mensa_scolastica
44221968,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,35.31,2026-02-06T00:00:00.000,Tassa Auto
44221967,CIPBITMM,Nexi,00632150173,Comune di Rodengo Saiano,25050,BS,87.66,2026-02-06T00:00:00.000,MENSA_RL
44221966,SATYLUL1,Satispay,09323530965,ASST Rhodense,20024,MI,17.30,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221965,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,09323530965,ASST Rhodense,20024,MI,36.00,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221964,CIPBITMM,Nexi,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,17.90,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221963,BCITITMM,Intesa Sanpaolo S.p.A,03775820982,ASST della Franciacorta,25032,BS,30.30,2026-02-06T00:00:00.000,PRENOTA_SALUTE
44221962,ABI08940,BANCA DI CREDITO COOPERATIVO BERGAMASCA E OROBICA S.C.,83000390167,Comune di Bariano,24050,BG,38.50,2026-02-06T00:00:00.000,dg_menseanziani
44221961,UNCRITMM,UniCredit S.p.A.,80050050154,Regione Lombardia,20124,MI,132.03,2026-02-06T00:00:00.000,Tassa Auto
44221960,ABI08940,BANCA DI CREDITO COOPERATIVO BERGAMASCA E OROBICA S.C.,83000390167,Comune di Bariano,24050,BG,82.50,2026-02-06T00:00:00.000,dg_menseanziani
44221959,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00297960197,Comune di Cremona,26100,CR,103.38,2026-02-06T00:00:00.000,is_violazioni_cds
44221958,SELBIT2B,Banca Sella S.p.A.,00453990178,Comune di Bagnolo Mella,25021,BS,46.32,2026-02-06T00:00:00.000,dt_mensascolastica
44221957,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,32.00,2026-02-06T00:00:00.000,bollomobil
44221956,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.56,2026-02-06T00:00:00.000,solleciti
44221955,ABI03069,Intesa Sanpaolo S.p.A,01629350198,ASST di Crema,26013,CR,17.30,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221954,CIPBITMM,Nexi,00424960136,Comune di Inverigo,22044,CO,100.00,2026-02-06T00:00:00.000,app_mensascolastica
44221953,SELBIT2B,Banca Sella S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.68,2026-02-06T00:00:00.000,solleciti
44221952,ABI01005,Banca Nazionale Del Lavoro S.p.A.,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,99.45,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221951,CIPBITMM,Nexi,00903350171,Comune di Berzo Inferiore,25040,BS,61.00,2026-02-06T00:00:00.000,MENSA_RL
44221941,BCITITMM,Intesa Sanpaolo S.p.A,04114450168,ASST di Bergamo Ovest,24047,BG,16.25,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221940,LB000484,Revolut Payments UAB,01629400191,ASST di Cremona,26100,CR,36.00,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221939,WOLLNLB1,Worldpay BV,00453990178,Comune di Bagnolo Mella,25021,BS,72.10,2026-02-06T00:00:00.000,dt_mensascolastica
44221938,CIPBITMM,Nexi,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,25.00,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221937,BCITITMM,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,73.59,2026-02-06T00:00:00.000,ts_sanamm
44221936,CIPBITMM,Nexi,02481840201,ASST di Mantova,46100,MN,17.90,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221935,ABI03296,Banca Fideuram,80005370137,Comune di Como,22100,CO,34.40,2026-02-06T00:00:00.000,meg_preavvisi_cds
44221934,SELBIT2B,Banca Sella S.p.A.,09319690963,ASST Fatebenefratelli Sacco,20157,MI,36.00,2026-02-06T00:00:00.000,TICKET_SANITARIO
44221933,CIPBITMM,Nexi,09319690963,ASST Fatebenefratelli Sacco,20157,MI,36.00,2026-02-06T00:00:00.000,PRENOTA_SALUTE
