id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44142743,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,20.83,2026-02-03T00:00:00.000,Tassa Auto
44142742,BPMOIT22,BPER Banca S.p.A.,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,30.00,2026-02-03T00:00:00.000,ASST721_PREST_PRIV
44142741,ABI03069,Intesa Sanpaolo S.p.A,09319650967,ASST Ovest Milanese,20025,MI,8.70,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142740,ABI08440,BCC DI CARATE BRIANZA,00841910151,Comune di Varedo,20814,MB,215.00,2026-02-03T00:00:00.000,sm_cu_mp
44142739,BCITITMM,Intesa Sanpaolo S.p.A,00792720153,Comune di Garbagnate Milanese,20024,MI,32.84,2026-02-03T00:00:00.000,mg_violazioni_cds
44142738,CIPBITMM,Nexi,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,25.00,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142737,ABI03069,Intesa Sanpaolo S.p.A,83005620154,Comune di Limbiate,20812,MB,254.55,2026-02-03T00:00:00.000,si_nido
44142735,PPAYITR1XXX,Postepay,02613080189,ASST di Pavia,27100,PV,5.00,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142734,CIPBITMM,Nexi,80034840167,Comune di Bergamo,24122,BG,26.00,2026-02-03T00:00:00.000,gm_cimit_votive
44142733,CIPBITMM,Nexi,09322180960,ASST di Lodi,26900,LO,30.50,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142732,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,227.23,2026-02-03T00:00:00.000,Tassa Auto
44142731,BCITITMM,Intesa Sanpaolo S.p.A,03029240151,Comune di Trezzano Sul Naviglio,20090,MI,72.59,2026-02-03T00:00:00.000,app_mensascolastica
44142730,ABI03296,Banca Fideuram,03510050127,ASST Dei Sette Laghi,21100,VA,82.00,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142729,CIPBITMM,Nexi,03622110132,ASST Lariana,22100,CO,25.00,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142728,SENVITT1,BANCA PATRIMONI SELLA E C. S.P.A.,04114400163,ATS di Bergamo,24121,BG,7.00,2026-02-03T00:00:00.000,ATS325_DIR_VET
44142727,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,131.58,2026-02-03T00:00:00.000,Tassa Auto
44142726,WOLLNLB1,Worldpay BV,00424960136,Comune di Inverigo,22044,CO,73.50,2026-02-03T00:00:00.000,app_mensascolastica
44142725,ABI03069,Intesa Sanpaolo S.p.A,00432060135,Comune di Cernobbio,22012,CO,44.40,2026-02-03T00:00:00.000,mg_violazioni_cds
44142724,CIPBITMM,Nexi,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-03T00:00:00.000,os_verbali_pp
44142723,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,238.30,2026-02-03T00:00:00.000,Tassa Auto
44142684,BIC36019,American Express Payment Services,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.04,2026-02-03T00:00:00.000,solleciti
44142683,ABI03069,Intesa Sanpaolo S.p.A,09314320962,ASST della Brianza,20871,MB,25.00,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142682,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,269.84,2026-02-03T00:00:00.000,Tassa Auto
44142681,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,616.02,2026-02-03T00:00:00.000,Tassa Auto
44142680,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,157.97,2026-02-03T00:00:00.000,Tassa Auto
44142679,SELBIT2B,Banca Sella S.p.A.,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,160.80,2026-02-03T00:00:00.000,ATS321_ALTRE
44142678,SATYLUL1,Satispay,09320420962,ASST Nord Milano,20099,MI,17.90,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142672,BPMOIT22,BPER Banca S.p.A.,00855610176,Comune di Mazzano,25080,BS,29.40,2026-02-03T00:00:00.000,in_violazione_cds
44142657,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.28,2026-02-03T00:00:00.000,solleciti
44142809,ABI03069,Intesa Sanpaolo S.p.A,00220080162,Comune di Alzano Lombardo,24022,BG,136.60,2026-02-03T00:00:00.000,dg_aut_cimiteriali
44142808,ABI03239,Intesa Sanpaolo Private Banking,04114380167,ASST di Bergamo Est,24068,BG,10.45,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142807,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-03T00:00:00.000,os_verbali_pp
44142806,CIPBITMM,Nexi,00988090148,ASST della Valtellina e dell'Alto Lario,23100,SO,28.20,2026-02-03T00:00:00.000,TICKET_SANITARIO
44142805,ABI03069,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,65.00,2026-02-03T00:00:00.000,TC_SERVIZI_CIMITERIALI
44142804,ABI03069,Intesa Sanpaolo S.p.A,83005620154,Comune di Limbiate,20812,MB,336.00,2026-02-03T00:00:00.000,gm_serv_cimitero
44142803,ABI03069,Intesa Sanpaolo S.p.A,00297960197,Comune di Cremona,26100,CR,100.00,2026-02-03T00:00:00.000,app_retta_primaria
44142802,ABI03069,Intesa Sanpaolo S.p.A,04114370168,ASST Papa Giovanni XXIII,24127,BG,30.00,2026-02-03T00:00:00.000,ASST718_PAT_CER
44142801,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,54.20,2026-02-03T00:00:00.000,os_verbali_pp
44142800,ABI03069,Intesa Sanpaolo S.p.A,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,156.00,2026-02-03T00:00:00.000,TICKET_SANITARIO
