id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44503571,ABI03069,Intesa Sanpaolo S.p.A,09320530968,ASST Gaetano Pini CTO,20122,MI,17.90,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503570,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.21,2026-02-16T00:00:00.000,solleciti
44503569,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.48,2026-02-16T00:00:00.000,solleciti
44503568,CIPBITMM,Nexi,00308220128,Comune di Cislago,21040,VA,100.00,2026-02-16T00:00:00.000,acm_mensascuola
44503567,ABI03440,BANCO DI DESIO E DELLA BRIANZA S.P.A.,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,25.00,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503566,PPAYITR1XXX,Postepay,03510050127,ASST Dei Sette Laghi,21100,VA,10.00,2026-02-16T00:00:00.000,ASST710_BANDI
44503565,ABI03069,Intesa Sanpaolo S.p.A,00623530136,Comune di Lecco,23900,LC,29.40,2026-02-16T00:00:00.000,mg_violazioni_cds
44503564,CIPBITMM,Nexi,85001870188,Comune di Vigevano,27029,PV,50.00,2026-02-16T00:00:00.000,ts_verbali_cds
44503563,CIPBITMM,Nexi,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,20.00,2026-02-16T00:00:00.000,ASST926_CONC
44503562,ABI36080,Admiral Pay IP S.r.l.,00761890177,Comune di Brescia,25121,BS,34.40,2026-02-16T00:00:00.000,ts_sanamm
44503561,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.58,2026-02-16T00:00:00.000,solleciti
44503540,UNCRITMM,UniCredit S.p.A.,00634160170,Comune di Rezzato,25086,BS,121.10,2026-02-16T00:00:00.000,in_violazione_cds
44503539,CIPBITMM,Nexi,02481840201,ASST di Mantova,46100,MN,26.20,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503538,CIPBITMM,Nexi,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-16T00:00:00.000,os_verbali_pp
44503537,SATYLUL1,Satispay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.59,2026-02-16T00:00:00.000,solleciti
44503536,ABI03069,Intesa Sanpaolo S.p.A,04114370168,ASST Papa Giovanni XXIII,24127,BG,36.00,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503535,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,104.01,2026-02-16T00:00:00.000,Tassa Auto
44503534,ABI03069,Intesa Sanpaolo S.p.A,04114370168,ASST Papa Giovanni XXIII,24127,BG,36.00,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503533,POSOIT22XXX,Banca Popolare di Sondrio,00623530136,Comune di Lecco,23900,LC,50.00,2026-02-16T00:00:00.000,mg_dir_segr_edil
44503532,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.59,2026-02-16T00:00:00.000,solleciti
44503531,ABI03069,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,25.00,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503530,ABI03475,ING BANK N.V.,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-16T00:00:00.000,os_verbali_pp
44503529,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.59,2026-02-16T00:00:00.000,solleciti
44503528,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.04,2026-02-16T00:00:00.000,solleciti
44503527,CIPBITMM,Nexi,02030880153,Comune di Monza,20900,MI,18.60,2026-02-16T00:00:00.000,pagamentidiversi
44503526,CIPBITMM,Nexi,00424960136,Comune di Inverigo,22044,CO,20.00,2026-02-16T00:00:00.000,app_mensascolastica
44503525,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-02-16T00:00:00.000,solleciti
44503524,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.28,2026-02-16T00:00:00.000,solleciti
44503515,SATYLUL1,Satispay,03622110132,ASST Lariana,22100,CO,30.50,2026-02-16T00:00:00.000,TICKET_SANITARIO
44503514,ABI03385,Isy Bank S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.17,2026-02-16T00:00:00.000,solleciti
44503513,ABI03385,Isy Bank S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.94,2026-02-16T00:00:00.000,solleciti
44503512,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-02-16T00:00:00.000,TICKET_SANITARIO
