id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43961583,POSOIT22XXX,Banca Popolare di Sondrio,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,36.00,2026-01-27T10:00:00.000,TICKET_SANITARIO
43961575,ABI05034,Banco BPM S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.59,2026-01-27T09:00:00.000,solleciti
43961574,ABI08692,CREDITO COOPERATIVO DI BRESCIA,00308180124,Comune di Carnago,21040,VA,49.00,2026-01-27T09:00:00.000,sm_cu_mp
43961573,ABI03069,Intesa Sanpaolo S.p.A,09320420962,ASST Nord Milano,20099,MI,17.40,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961572,BIC32698,LIS Pay SPA,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,36.00,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961571,BCITITMM,Intesa Sanpaolo S.p.A,03622110132,ASST Lariana,22100,CO,17.90,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961570,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,29.40,2026-01-27T09:00:00.000,ts_sanamm
43961569,MOONITMMXXX,MOONEY S.P.A.,02481840201,ASST di Mantova,46100,MN,23.20,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961568,BPPIITRRXXX,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.26,2026-01-27T09:00:00.000,solleciti
43961567,ABI36964,BCC PAY S.p.A.,09319650967,ASST Ovest Milanese,20025,MI,23.20,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961566,ABI03069,Intesa Sanpaolo S.p.A,03510050127,ASST Dei Sette Laghi,21100,VA,142.00,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961564,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,100.56,2026-01-27T09:00:00.000,Tassa Auto
43961563,POSOIT22XXX,Banca Popolare di Sondrio,00232910166,Comune di Dalmine,24044,BG,22.00,2026-01-27T09:00:00.000,cie
43961562,ABI03440,BANCO DI DESIO E DELLA BRIANZA S.P.A.,03622110132,ASST Lariana,22100,CO,25.40,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961561,BIC32698,LIS Pay SPA,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,36.00,2026-01-27T09:00:00.000,TICKET_SANITARIO
43961560,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,32.48,2026-01-27T09:00:00.000,Tassa Auto
43961559,BCITITMM,Intesa Sanpaolo S.p.A,03510050127,ASST Dei Sette Laghi,21100,VA,28.00,2026-01-27T09:00:00.000,PRENOTA_SALUTE
43961558,ABI08692,CREDITO COOPERATIVO DI BRESCIA,80008750178,Provincia di Brescia,25121,BS,35.90,2026-01-27T09:00:00.000,os_verbali_pp
