id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43739398,SATYLUL1,Satispay,80050050154,Regione Lombardia,20124,MI,170.28,2026-01-19T00:00:00.000,Tassa Auto
43739397,CIPBITMM,Nexi,09322180960,ASST di Lodi,26900,LO,25.00,2026-01-19T00:00:00.000,PRENOTA_SALUTE
43739396,BPMOIT22,BPER Banca S.p.A.,02613080189,ASST di Pavia,27100,PV,102.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739395,ABI03015,FinecoBank Banca Fineco S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,152.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739394,ABI03015,FinecoBank Banca Fineco S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,152.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739393,ABI02008,Unicredit S.p.A,09320420962,ASST Nord Milano,20099,MI,102.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739392,PPAYITR1XXX,Postepay,92013170136,Provincia di Lecco,23900,LC,1300.00,2026-01-19T00:00:00.000,utilizzomonastero
43739391,ABI03239,Intesa Sanpaolo Private Banking,80034840167,Comune di Bergamo,24122,BG,26.00,2026-01-19T00:00:00.000,gm_cimit_votive
43739390,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.65,2026-01-19T00:00:00.000,solleciti
43739389,BCITITMM,Intesa Sanpaolo S.p.A,00801220153,Comune di Bollate,20021,MI,365.40,2026-01-19T00:00:00.000,pj_rettenido
43739388,ABI03069,Intesa Sanpaolo S.p.A,00623530136,Comune di Lecco,23900,LC,29.40,2026-01-19T00:00:00.000,mg_violazioni_cds
43739387,ABI02008,Unicredit S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,152.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739386,CIPBITMM,Nexi,80005370137,Comune di Como,22100,CO,77.55,2026-01-19T00:00:00.000,meg_violazioni_cds
43739385,MOONITMMXXX,MOONEY S.P.A.,00549440139,Comune di Vertemate con Minoprio,22070,CO,50.00,2026-01-19T00:00:00.000,app_mensascolastica
43739384,ABI03015,FinecoBank Banca Fineco S.p.A.,09320530968,ASST Gaetano Pini CTO,20122,MI,25.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739382,CIPBITMM,Nexi,03622120131,ASST di Lecco,23900,LC,36.00,2026-01-19T00:00:00.000,TICKET_SANITARIO
43739381,SELBIT2B,Banca Sella S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,11.26,2026-01-19T00:00:00.000,solleciti
43739380,BCITITMM,Intesa Sanpaolo S.p.A,00988090148,ASST della Valtellina e dell'Alto Lario,23100,SO,10.00,2026-01-19T00:00:00.000,ASST713_TS_CONCORSO
43739379,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.77,2026-01-19T00:00:00.000,solleciti
43739378,ABI03069,Intesa Sanpaolo S.p.A,03510140126,ATS dell'Insubria,21100,VA,82.00,2026-01-19T00:00:00.000,ATS322_RECUP_CRED
