id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43873338,WOLLNLB1,Worldpay BV,09320420962,ASST Nord Milano,20099,MI,15.49,2026-01-23T00:00:00.000,ASST707_BANDI
43873337,BCITITMM,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,17.90,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873336,CIPBITMM,Nexi,09323530965,ASST Rhodense,20024,MI,11.60,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873335,POSOIT22XXX,Banca Popolare di Sondrio,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.66,2026-01-23T00:00:00.000,solleciti
43873334,CIPBITMM,Nexi,04114450168,ASST di Bergamo Ovest,24047,BG,17.90,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873333,ABI05034,Banco BPM S.p.A.,02032910156,Comune di Novate Milanese,20026,MI,29.40,2026-01-23T00:00:00.000,in_violazione_cds
43873332,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.60,2026-01-23T00:00:00.000,solleciti
43873331,CIPBITMM,Nexi,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873330,CIPBITMM,Nexi,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,16.34,2026-01-23T00:00:00.000,sin_sollecito
43873329,MOONITMMXXX,MOONEY S.P.A.,00761890177,Comune di Brescia,25121,BS,84.25,2026-01-23T00:00:00.000,ts_sanamm
43873328,POSOIT22XXX,Banca Popolare di Sondrio,01549700159,Comune di Solaro,20033,MI,55.00,2026-01-23T00:00:00.000,dirittisuap
43873327,BNLIITRR,Worldline,80008750178,Provincia di Brescia,25121,BS,218.70,2026-01-23T00:00:00.000,os_verbali_pp
43873326,PPAYITR1XXX,Postepay,00670290162,Comune di Pagazzano,24040,BG,50.00,2026-01-23T00:00:00.000,app_mensainfanzia
43873325,ABI03069,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873324,SELBIT2B,Banca Sella S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,5.00,2026-01-23T00:00:00.000,ASST925_DONAZ
43873323,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-01-23T00:00:00.000,solleciti
43873322,ABI03069,Intesa Sanpaolo S.p.A,83000670204,Comune di Viadana,46019,MN,341.00,2026-01-23T00:00:00.000,pj_mensascolastica
43873321,PPAYITR1XXX,Postepay,00670290162,Comune di Pagazzano,24040,BG,50.00,2026-01-23T00:00:00.000,app_mensainfanzia
43873320,ABI05034,Banco BPM S.p.A.,03510190121,ASST Valle Olona,21052,VA,117.43,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873319,LB000484,Revolut Payments UAB,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,3.83,2026-01-23T00:00:00.000,solleciti
43873315,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,36.00,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873314,WOLLNLB1,Worldpay BV,00630080133,Comune di Tavernerio,22038,CO,84.00,2026-01-23T00:00:00.000,pj_trasportoscolastico
43873313,ABI36080,Admiral Pay IP S.r.l.,00703920132,Comune di Merate,23807,LC,42.30,2026-01-23T00:00:00.000,os_violazionecds
43873312,BPMOIT22,BPER Banca S.p.A.,00572300168,Comune di Costa Volpino,24062,BG,348.00,2026-01-23T00:00:00.000,sm_cu_mp
43873311,SATYLUL1,Satispay,09321970965,ASST Santi Paolo e Carlo,20142,MI,17.90,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873310,LB000484,Revolut Payments UAB,00623530136,Comune di Lecco,23900,LC,231.00,2026-01-23T00:00:00.000,mg_violazioni_cds
43873305,BCITITMM,Intesa Sanpaolo S.p.A,03775430980,ATS di Brescia,25124,BS,139.01,2026-01-23T00:00:00.000,ATS326_TICKET
43873304,SATYLUL1,Satispay,00792720153,Comune di Garbagnate Milanese,20024,MI,169.80,2026-01-23T00:00:00.000,mg_violazioni_cds
43873303,ABI02008,Unicredit S.p.A,05017630152,ARIA S.p.A.,20154,MI,120.00,2026-01-23T00:00:00.000,CENED ricarica portafoglio
43873302,UNCRITMM,UniCredit S.p.A.,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873301,CIPBITMM,Nexi,09319690963,ASST Fatebenefratelli Sacco,20157,MI,147.00,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873300,UNCRITMM,UniCredit S.p.A.,03622120131,ASST di Lecco,23900,LC,23.20,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873299,ABI03475,ING BANK N.V.,80034840167,Comune di Bergamo,24122,BG,31.68,2026-01-23T00:00:00.000,f2_mensascolastica
43873298,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-23T00:00:00.000,MARCA_BOLLO_DIGITALE
43873297,CIPBITMM,Nexi,03775660982,ASST del Garda,25015,BS,17.90,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873296,CIPBITMM,Nexi,02613080189,ASST di Pavia,27100,PV,17.90,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873294,ABI03385,Isy Bank S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,13.02,2026-01-23T00:00:00.000,solleciti
43873293,UNCRITMM,UniCredit S.p.A.,09319690963,ASST Fatebenefratelli Sacco,20157,MI,25.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873292,PPAYITR1XXX,Postepay,03510190121,ASST Valle Olona,21052,VA,17.90,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873291,CIPBITMM,Nexi,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,167.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873290,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,178.90,2026-01-23T00:00:00.000,Tassa Auto
43873289,BPMOIT22,BPER Banca S.p.A.,80034840167,Comune di Bergamo,24122,BG,26.00,2026-01-23T00:00:00.000,gm_cimit_votive
43873288,BNLIITRR,Worldline,03510190121,ASST Valle Olona,21052,VA,26.20,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873287,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.86,2026-01-23T00:00:00.000,solleciti
43873286,ABI03069,Intesa Sanpaolo S.p.A,02481840201,ASST di Mantova,46100,MN,36.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873285,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.68,2026-01-23T00:00:00.000,solleciti
43873254,PPAYITR1XXX,Postepay,00988090148,ASST della Valtellina e dell'Alto Lario,23100,SO,10.00,2026-01-23T00:00:00.000,ASST713_TS_CONCORSO
43873253,ABI03075,Banca Generali S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.68,2026-01-23T00:00:00.000,solleciti
43873252,BCITITMM,Intesa Sanpaolo S.p.A,03775660982,ASST del Garda,25015,BS,23.20,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873227,WOLLNLB1,Worldpay BV,02481840201,ASST di Mantova,46100,MN,25.00,2026-01-23T00:00:00.000,PRENOTA_SALUTE
43873420,ABI03069,Intesa Sanpaolo S.p.A,80018230153,Fondazione Irccs Istituto Nazionale Dei Tumori,20133,MI,150.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873419,ABI03069,Intesa Sanpaolo S.p.A,00490260130,Comune di Binago,22070,CO,102.00,2026-01-23T00:00:00.000,servpersonasociali
43873418,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,1176.00,2026-01-23T00:00:00.000,mg_tari
43873417,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,25.00,2026-01-23T00:00:00.000,Tassa Auto
43873416,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,175.85,2026-01-23T00:00:00.000,ATS321_DIFF
43873415,UNCRITMM,UniCredit S.p.A.,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873414,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,96.90,2026-01-23T00:00:00.000,ATS321_DIFF
43873413,ABI03069,Intesa Sanpaolo S.p.A,00293540175,Comune di Travagliato,25039,BS,18.91,2026-01-23T00:00:00.000,mg_votiva
43873412,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,271.61,2026-01-23T00:00:00.000,ATS321_DIFF
43873411,ABI03069,Intesa Sanpaolo S.p.A,00828590158,Comune di San Donato Milanese,20097,MI,157.00,2026-01-23T00:00:00.000,REFEZ
43873410,ABI03069,Intesa Sanpaolo S.p.A,01310880156,Comune di Abbiategrasso,20081,MI,654.53,2026-01-23T00:00:00.000,retteasilonido
43873409,ABI03069,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,333.33,2026-01-23T00:00:00.000,arc_gestincpatrim
43873408,ABI03069,Intesa Sanpaolo S.p.A,85001870188,Comune di Vigevano,27029,PV,35.88,2026-01-23T00:00:00.000,meg_verbali_cds
43873407,ABI03069,Intesa Sanpaolo S.p.A,83000130159,Comune di Cesano Maderno,20811,MB,1040.00,2026-01-23T00:00:00.000,compfamiglia
43873406,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,145.00,2026-01-23T00:00:00.000,mg_tari
43873405,ABI03069,Intesa Sanpaolo S.p.A,01629350198,ASST di Crema,26013,CR,17.90,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873404,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,141.00,2026-01-23T00:00:00.000,mg_tari
43873403,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,67.00,2026-01-23T00:00:00.000,mg_tari
43873402,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,105.00,2026-01-23T00:00:00.000,mg_tari
43873401,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,137.46,2026-01-23T00:00:00.000,ATS321_DIFF
43873400,ABI03069,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,36.00,2026-01-23T00:00:00.000,TICKET_SANITARIO
43873399,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,68.00,2026-01-23T00:00:00.000,mg_tari
43873398,ABI03069,Intesa Sanpaolo S.p.A,03366130155,Comune di Arese,20044,MI,39.52,2026-01-23T00:00:00.000,gi_affitti
43873397,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,118.72,2026-01-23T00:00:00.000,ATS321_DIFF
43873396,BNLIITRR,Worldline,05017630152,ARIA S.p.A.,20154,MI,300.00,2026-01-23T00:00:00.000,CENED ricarica portafoglio
43873395,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,219.86,2026-01-23T00:00:00.000,ATS321_DIFF
43873394,ABI03069,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,239.52,2026-01-23T00:00:00.000,arc_cimiterialifissi
43873393,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,202.35,2026-01-23T00:00:00.000,ATS321_DIFF
43873392,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,86.67,2026-01-23T00:00:00.000,ATS321_DIFF
