id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44450538,BCITITMM,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,17.90,2026-02-13T00:00:00.000,TICKET_SANITARIO
44450537,BCITITMM,Intesa Sanpaolo S.p.A,00792720153,Comune di Garbagnate Milanese,20024,MI,207.14,2026-02-13T00:00:00.000,mg_violazioni_cds
44450536,WOLLNLB1,Worldpay BV,03510190121,ASST Valle Olona,21052,VA,26.20,2026-02-13T00:00:00.000,TICKET_SANITARIO
44450535,BCITITMM,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-13T00:00:00.000,ts_sanamm
44450534,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.56,2026-02-13T00:00:00.000,solleciti
44450533,LB000484,Revolut Payments UAB,84507570152,Comune di Lodi,26900,LO,56.00,2026-02-13T00:00:00.000,ads_servsocioeduc
44450532,BCITITMM,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,36.00,2026-02-13T00:00:00.000,PRENOTA_SALUTE
44450531,LB000484,Revolut Payments UAB,80050050154,Regione Lombardia,20124,MI,199.48,2026-02-13T00:00:00.000,RL_BIL_PAGOPAPOST
44450530,ABI03296,Banca Fideuram,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.92,2026-02-13T00:00:00.000,solleciti
44450529,BCITITMM,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,17.90,2026-02-13T00:00:00.000,TICKET_SANITARIO
44450527,ABI08324,BANCA CENTROPADANA CRED. COOP.,02613260187,ATS di Pavia,27100,PV,20.00,2026-02-13T00:00:00.000,ATS328_IGN_ALI
44450525,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.58,2026-02-13T00:00:00.000,solleciti
44450524,ABI03015,FinecoBank Banca Fineco S.p.A.,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,20.00,2026-02-13T00:00:00.000,ASST926_CONC
44450523,MOONITMMXXX,MOONEY S.P.A.,83005620154,Comune di Limbiate,20812,MB,216.00,2026-02-13T00:00:00.000,mg_rifiuti_ac
44450522,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.89,2026-02-13T00:00:00.000,solleciti
44450520,CIPBITMM,Nexi,09320530968,ASST Gaetano Pini CTO,20122,MI,36.00,2026-02-13T00:00:00.000,TICKET_SANITARIO
44450519,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.28,2026-02-13T00:00:00.000,solleciti
44450518,CIPBITMM,Nexi,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-02-13T00:00:00.000,TICKET_SANITARIO
44450517,LB000484,Revolut Payments UAB,84507570152,Comune di Lodi,26900,LO,34.00,2026-02-13T00:00:00.000,ads_servsocioeduc
44450516,MOONITMMXXX,MOONEY S.P.A.,09323530965,ASST Rhodense,20024,MI,25.00,2026-02-13T00:00:00.000,PRENOTA_SALUTE
