id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43661171,WOLLNLB1,Worldpay BV,01629400191,ASST di Cremona,26100,CR,17.90,2026-01-15T00:00:00.000,PRENOTA_SALUTE
43661170,PPAYITR1XXX,Postepay,02613080189,ASST di Pavia,27100,PV,25.00,2026-01-15T00:00:00.000,PRENOTA_SALUTE
43661169,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,34.40,2026-01-15T00:00:00.000,ts_sanamm
43661168,CIPBITMM,Nexi,00685130163,Comune di Mapello,24030,BG,121.78,2026-01-15T00:00:00.000,mg_violazionecodicestrada
43661167,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,738.04,2026-01-15T00:00:00.000,Tassa Auto
43661166,CIPBITMM,Nexi,01629400191,ASST di Cremona,26100,CR,25.00,2026-01-15T00:00:00.000,PRENOTA_SALUTE
43661165,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,245.55,2026-01-15T00:00:00.000,Tassa Auto
43661164,BCITITMM,Intesa Sanpaolo S.p.A,05017630152,ARIA S.p.A.,20154,MI,10.00,2026-01-15T00:00:00.000,CENED ricarica portafoglio
43661163,ABI03069,Intesa Sanpaolo S.p.A,04114370168,ASST Papa Giovanni XXIII,24127,BG,132.00,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661162,ABI03015,FinecoBank Banca Fineco S.p.A.,00761890177,Comune di Brescia,25121,BS,116.90,2026-01-15T00:00:00.000,violazionecodicestrada
43661161,ABI02008,Unicredit S.p.A,03622110132,ASST Lariana,22100,CO,152.00,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661160,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,421.37,2026-01-15T00:00:00.000,Tassa Auto
43661159,WOLLNLB1,Worldpay BV,00828590158,Comune di San Donato Milanese,20097,MI,308.40,2026-01-15T00:00:00.000,REFEZ
43661157,SATYLUL1,Satispay,02481840201,ASST di Mantova,46100,MN,142.00,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661156,WOLLNLB1,Worldpay BV,00828590158,Comune di San Donato Milanese,20097,MI,69.39,2026-01-15T00:00:00.000,REFEZ
43661155,MOONITMMXXX,MOONEY S.P.A.,00988200143,ATS della Montagna,23100,SO,82.20,2026-01-15T00:00:00.000,ATS323_ACC_ATTI
43661154,BPMOIT22,BPER Banca S.p.A.,00232910166,Comune di Dalmine,24044,BG,30.00,2026-01-15T00:00:00.000,tari_ac
43661153,SELBIT2B,Banca Sella S.p.A.,02253930156,Comune di Sesto San Giovanni,20099,MI,695.12,2026-01-15T00:00:00.000,gm_serv_cimitero
43661152,ABI03069,Intesa Sanpaolo S.p.A,03622110132,ASST Lariana,22100,CO,36.00,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661151,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00232910166,Comune di Dalmine,24044,BG,66.00,2026-01-15T00:00:00.000,tari_ac
43661149,ABI03069,Intesa Sanpaolo S.p.A,00232910166,Comune di Dalmine,24044,BG,28.00,2026-01-15T00:00:00.000,tari_ac
43661143,ABI36772,HYPE S.P.A.,00761890177,Comune di Brescia,25121,BS,29.40,2026-01-15T00:00:00.000,ts_sanamm
43661142,BPMOIT22,BPER Banca S.p.A.,03510050127,ASST Dei Sette Laghi,21100,VA,152.00,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661141,POSOIT22XXX,Banca Popolare di Sondrio,00097780142,Comune di Delebio,23014,SO,30.00,2026-01-15T00:00:00.000,SS_MENSE
43661139,ABI03475,ING BANK N.V.,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,25.40,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661138,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,01629400191,ASST di Cremona,26100,CR,122.00,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661137,BCITITMM,Intesa Sanpaolo S.p.A,03622110132,ASST Lariana,22100,CO,17.90,2026-01-15T00:00:00.000,TICKET_SANITARIO
43661136,LB000484,Revolut Payments UAB,80008750178,Provincia di Brescia,25121,BS,44.40,2026-01-15T00:00:00.000,os_verbali_pp
43661135,UNCRITMM,UniCredit S.p.A.,03775430980,ATS di Brescia,25124,BS,51.80,2026-01-15T00:00:00.000,ATS326_DIR_SAN
43661134,ABI08329,Banca di Credito Cooperativo Brianza e Laghi - Società Cooperativa,09314190969,ATS della Brianza,20900,MB,20.00,2026-01-15T00:00:00.000,ATS324_DIR_SAN_IPA
43661133,CIPBITMM,Nexi,82000950160,Comune di Bonate Sopra,24040,BG,126.04,2026-01-15T00:00:00.000,in_violazione_cds
