id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43598234,BPMOIT22,BPER Banca S.p.A.,09321970965,ASST Santi Paolo e Carlo,20142,MI,36.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598233,ABI02008,Unicredit S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,162.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598232,BPMOIT22,BPER Banca S.p.A.,04114450168,ASST di Bergamo Ovest,24047,BG,36.00,2026-01-13T00:00:00.000,PRENOTA_SALUTE
43598231,ABI05034,Banco BPM S.p.A.,00828590158,Comune di San Donato Milanese,20097,MI,69.08,2026-01-13T00:00:00.000,REFEZ
43598230,BCITITMM,Intesa Sanpaolo S.p.A,03775820982,ASST della Franciacorta,25032,BS,25.40,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598229,BCITITMM,Intesa Sanpaolo S.p.A,00828590158,Comune di San Donato Milanese,20097,MI,81.64,2026-01-13T00:00:00.000,REFEZ
43598228,BCITITMM,Intesa Sanpaolo S.p.A,00880000153,Comune di Corsico,20094,MI,251.00,2026-01-13T00:00:00.000,ads_rifiuti_ac
43598227,ABI02008,Unicredit S.p.A,00296180185,Comune di Pavia,27100,PV,73.80,2026-01-13T00:00:00.000,lucivotive
43598226,SATYLUL1,Satispay,09323530965,ASST Rhodense,20024,MI,17.90,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598225,MOONITMMXXX,MOONEY S.P.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.65,2026-01-13T00:00:00.000,PRENOTA_SALUTE
43598224,ABI03475,ING BANK N.V.,04114400163,ATS di Bergamo,24121,BG,258.39,2026-01-13T00:00:00.000,ATS325_REG_TICKET
43598223,MOONITMMXXX,MOONEY S.P.A.,09323530965,ASST Rhodense,20024,MI,36.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598222,WOLLNLB1,Worldpay BV,00296180185,Comune di Pavia,27100,PV,100.00,2026-01-13T00:00:00.000,REFEZ
43598221,LB000484,Revolut Payments UAB,04114380167,ASST di Bergamo Est,24068,BG,28.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598220,ABI03069,Intesa Sanpaolo S.p.A,00296180185,Comune di Pavia,27100,PV,50.82,2026-01-13T00:00:00.000,lucivotive
43598219,ABI03069,Intesa Sanpaolo S.p.A,00623530136,Comune di Lecco,23900,LC,60.90,2026-01-13T00:00:00.000,mg_violazioni_cds
43598218,SATYLUL1,Satispay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,21.26,2026-01-13T00:00:00.000,solleciti
43598217,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,182.65,2026-01-13T00:00:00.000,Tassa Auto
43598216,PPAYITR1XXX,Postepay,04114370168,ASST Papa Giovanni XXIII,24127,BG,152.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598215,CIPBITMM,Nexi,09322180960,ASST di Lodi,26900,LO,17.55,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598214,ABI02008,Unicredit S.p.A,00649470176,Comune di Ponte di Legno,25056,BS,159.24,2026-01-13T00:00:00.000,SERVIZIO_IDRICO_RL
43598213,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,48.13,2026-01-13T00:00:00.000,ts_sanamm
43598166,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,14.91,2026-01-13T00:00:00.000,Tassa Auto
43598165,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,93.35,2026-01-13T00:00:00.000,mensascolasticainfanzia
43598164,ABI03069,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,152.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598163,CIPBITMM,Nexi,03775430980,ATS di Brescia,25124,BS,49.00,2026-01-13T00:00:00.000,ATS326_TICKET
43598162,CIPBITMM,Nexi,09323530965,ASST Rhodense,20024,MI,36.00,2026-01-13T00:00:00.000,PRENOTA_SALUTE
43598161,MOONITMMXXX,MOONEY S.P.A.,80008750178,Provincia di Brescia,25121,BS,218.00,2026-01-13T00:00:00.000,os_verbali_pp
43598160,ABI03296,Banca Fideuram,09321970965,ASST Santi Paolo e Carlo,20142,MI,102.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598159,ABI03296,Banca Fideuram,09321970965,ASST Santi Paolo e Carlo,20142,MI,102.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598158,MOONITMMXXX,MOONEY S.P.A.,03510050127,ASST Dei Sette Laghi,21100,VA,17.90,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598157,ABI03069,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,10.55,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598156,CIPBITMM,Nexi,84503580155,Comune di Mediglia,20060,MI,50.00,2026-01-13T00:00:00.000,TB_RIFIUTI
43598155,ABI03069,Intesa Sanpaolo S.p.A,02481840201,ASST di Mantova,46100,MN,21.40,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598154,BCITITMM,Intesa Sanpaolo S.p.A,00861770154,Comune di Cuggiono,20012,MI,100.00,2026-01-13T00:00:00.000,app_mensascolastica
43598153,WOLLNLB1,Worldpay BV,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,11.05,2026-01-13T00:00:00.000,PRENOTA_SALUTE
43598152,BCITITMM,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,36.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598151,WOLLNLB1,Worldpay BV,80008750178,Provincia di Brescia,25121,BS,100.00,2026-01-13T00:00:00.000,spistr_trasppriv_esami
43598150,CIPBITMM,Nexi,03622120131,ASST di Lecco,23900,LC,25.00,2026-01-13T00:00:00.000,TICKET_SANITARIO
43598135,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,3.60,2026-01-13T00:00:00.000,pedaggi
43598134,CIPBITMM,Nexi,00297960197,Comune di Cremona,26100,CR,450.00,2026-01-13T00:00:00.000,app_retta_infanzia
43598133,BCITITMM,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,44.00,2026-01-13T00:00:00.000,os_verbali_pp
43598132,ABI08575,BCC AGROBRESCIANO SOC. COOP.,00761890177,Comune di Brescia,25121,BS,34.20,2026-01-13T00:00:00.000,ts_sanamm
43598305,IFSPIT21,ICONTO srl,80050050154,Regione Lombardia,20124,MI,16.00,2026-01-13T00:00:00.000,MARCA_BOLLO_DIGITALE
43598304,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.28,2026-01-13T00:00:00.000,solleciti
43598303,ABI03296,Banca Fideuram,00246270169,Comune di Gandino,24024,BG,13.00,2026-01-13T00:00:00.000,sch_lucevotiva
43598302,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1282.92,2026-01-13T00:00:00.000,ASST706_RETTE_RSA
43598301,ABI03069,Intesa Sanpaolo S.p.A,80018310179,Comune di Cellatica,25060,BS,75.60,2026-01-13T00:00:00.000,PASTIDOMICILIO_RL
43598300,ABI03296,Banca Fideuram,09322180960,ASST di Lodi,26900,LO,17.90,2026-01-13T00:00:00.000,TICKET_SANITARIO
