id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44250046,PPAYITR1XXX,Postepay,03510190121,ASST Valle Olona,21052,VA,36.00,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250045,SELBIT2B,Banca Sella S.p.A.,04793650583,Fondazione Don Carlo Gnocchi Onlus,20162,MI,36.00,2026-02-07T00:00:00.000,TICKET_CUP_118
44250044,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00186490181,Comune di Voghera,27058,PV,102.00,2026-02-07T00:00:00.000,in_violazione_cds
44250043,CIPBITMM,Nexi,09320650964,ASST Melegnano e della Martesana,20070,MI,36.00,2026-02-07T00:00:00.000,PRENOTA_SALUTE
44250042,PPAYITR1XXX,Postepay,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,26.20,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250041,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,409.36,2026-02-07T00:00:00.000,Tassa Auto
44250040,UNCRITMM,UniCredit S.p.A.,09320530968,ASST Gaetano Pini CTO,20122,MI,36.00,2026-02-07T00:00:00.000,PRENOTA_SALUTE
44250038,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,60.30,2026-02-07T00:00:00.000,Tassa Auto
44250037,WOLLNLB1,Worldpay BV,04114380167,ASST di Bergamo Est,24068,BG,152.00,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250036,CIPBITMM,Nexi,80005370137,Comune di Como,22100,CO,29.40,2026-02-07T00:00:00.000,meg_violazioni_cds
44250024,PPAYITR1XXX,Postepay,84507570152,Comune di Lodi,26900,LO,40.60,2026-02-07T00:00:00.000,ads_mensa_scolastica
44250023,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,168.02,2026-02-07T00:00:00.000,mensascolasticainfanzia
44250022,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,181.40,2026-02-07T00:00:00.000,Tassa Auto
44250021,ABI03069,Intesa Sanpaolo S.p.A,00304320195,Comune di Cella Dati,26040,CR,22.21,2026-02-07T00:00:00.000,dg_emiss_cie
44250020,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.16,2026-02-07T00:00:00.000,solleciti
44250019,CIPBITMM,Nexi,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,10.00,2026-02-07T00:00:00.000,ASST721_BANDI
44250018,ABI03069,Intesa Sanpaolo S.p.A,00846620177,Comune di Prevalle,25080,BS,58.20,2026-02-07T00:00:00.000,in_violazione_cds
44250017,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,84507570152,Comune di Lodi,26900,LO,70.00,2026-02-07T00:00:00.000,ads_mensa_scolastica
44250016,CIPBITMM,Nexi,00297960197,Comune di Cremona,26100,CR,77.10,2026-02-07T00:00:00.000,is_violazioni_cds
44250015,CIPBITMM,Nexi,03775430980,ATS di Brescia,25124,BS,34.35,2026-02-07T00:00:00.000,ATS326_TICKET
44250014,BCITITMM,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,29.40,2026-02-07T00:00:00.000,mg_violazioni_cds
44250013,BPMOIT22,BPER Banca S.p.A.,00792720153,Comune di Garbagnate Milanese,20024,MI,457.00,2026-02-07T00:00:00.000,ek_rettenido
44249995,CIPBITMM,Nexi,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,7.00,2026-02-07T00:00:00.000,ASST721_BANDI
44249994,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,64.85,2026-02-07T00:00:00.000,Tassa Auto
44249993,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,89.20,2026-02-07T00:00:00.000,Tassa Auto
44249992,ABI03069,Intesa Sanpaolo S.p.A,02481840201,ASST di Mantova,46100,MN,17.90,2026-02-07T00:00:00.000,TICKET_SANITARIO
44249991,BPMOIT22,BPER Banca S.p.A.,02481840201,ASST di Mantova,46100,MN,10.33,2026-02-07T00:00:00.000,ASST725_CONCORSI_BASE
44249990,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-07T00:00:00.000,ts_sanamm
44249989,CIPBITMM,Nexi,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-07T00:00:00.000,os_verbali_pp
44249988,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,80008750178,Provincia di Brescia,25121,BS,54.20,2026-02-07T00:00:00.000,os_verbali_pp
44250097,LB000484,Revolut Payments UAB,00761890177,Comune di Brescia,25121,BS,60.90,2026-02-07T00:00:00.000,ts_sanamm
44250096,PPAYITR1XXX,Postepay,00297960197,Comune di Cremona,26100,CR,20.00,2026-02-07T00:00:00.000,app_retta_primaria
44250095,SATYLUL1,Satispay,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-07T00:00:00.000,ts_sanamm
44250094,ABI03062,Banca Mediolanum SpA,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-07T00:00:00.000,ts_sanamm
44250093,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,101.04,2026-02-07T00:00:00.000,Tassa Auto
44250092,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-07T00:00:00.000,os_verbali_pp
44250091,CIPBITMM,Nexi,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.00,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250090,BNLIITRR,Worldline,80050050154,Regione Lombardia,20124,MI,34.07,2026-02-07T00:00:00.000,Tassa Auto
44250089,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,109.36,2026-02-07T00:00:00.000,Tassa Auto
44250088,ABI03069,Intesa Sanpaolo S.p.A,00988090148,ASST della Valtellina e dell'Alto Lario,23100,SO,17.90,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250087,ABI03296,Banca Fideuram,01629350198,ASST di Crema,26013,CR,108.40,2026-02-07T00:00:00.000,ASST726_DIV_CONT
44250086,BCITITMM,Intesa Sanpaolo S.p.A,83503270155,Comune di Inzago,20065,MI,29.40,2026-02-07T00:00:00.000,in_violazione_cds
44250085,ABI03069,Intesa Sanpaolo S.p.A,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.68,2026-02-07T00:00:00.000,sin_sollecito
44250084,ABI01030,Banca Monte dei Paschi di Siena,84507570152,Comune di Lodi,26900,LO,58.00,2026-02-07T00:00:00.000,mg_tari
44250083,ABI03069,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,10.00,2026-02-07T00:00:00.000,ASST711_BANDI
44250082,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,80005370137,Comune di Como,22100,CO,29.40,2026-02-07T00:00:00.000,meg_violazioni_cds
44250081,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,334.67,2026-02-07T00:00:00.000,Tassa di rinnovo concessioni regionali
44250080,ABI03069,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,127.00,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250079,SATYLUL1,Satispay,00761890177,Comune di Brescia,25121,BS,33.90,2026-02-07T00:00:00.000,ts_sanamm
44250078,ABI02008,Unicredit S.p.A,05017630152,ARIA S.p.A.,20154,MI,150.00,2026-02-07T00:00:00.000,CENED ricarica portafoglio
44250077,ABI03069,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,154.57,2026-02-07T00:00:00.000,servizisociali
44250076,ABI01030,Banca Monte dei Paschi di Siena,00761890177,Comune di Brescia,25121,BS,231.00,2026-02-07T00:00:00.000,ts_sanamm
44250075,ABI03069,Intesa Sanpaolo S.p.A,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,7.54,2026-02-07T00:00:00.000,sin_sollecito
44250074,MOONITMMXXX,MOONEY S.P.A.,03622110132,ASST Lariana,22100,CO,20.15,2026-02-07T00:00:00.000,TICKET_SANITARIO
44250073,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1650.73,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250072,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,667.00,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250071,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1902.00,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250070,ABI03069,Intesa Sanpaolo S.p.A,03510140126,ATS dell'Insubria,21100,VA,24.82,2026-02-07T00:00:00.000,ATS322_FAT_VET
44250069,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,257.80,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250068,ABI03069,Intesa Sanpaolo S.p.A,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.35,2026-02-07T00:00:00.000,sin_sollecito
44250067,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,2549.90,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250066,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1902.00,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250065,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1884.90,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250064,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1332.00,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
44250063,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,1759.50,2026-02-07T00:00:00.000,ASST706_FATT_ELE_PG
