id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44304711,CIPBITMM,Nexi,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304710,ABI03069,Intesa Sanpaolo S.p.A,03775820982,ASST della Franciacorta,25032,BS,36.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304709,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,33.90,2026-02-10T00:00:00.000,ts_sanamm
44304708,CIPBITMM,Nexi,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,36.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304707,SATYLUL1,Satispay,02481840201,ASST di Mantova,46100,MN,36.00,2026-02-10T00:00:00.000,PRENOTA_SALUTE
44304706,PPAYITR1XXX,Postepay,09320420962,ASST Nord Milano,20099,MI,25.00,2026-02-10T00:00:00.000,PRENOTA_SALUTE
44304705,BPMOIT22,BPER Banca S.p.A.,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-10T00:00:00.000,os_verbali_pp
44304704,ABI36080,Admiral Pay IP S.r.l.,82000620169,Comune di Bonate Sotto,24040,BG,208.64,2026-02-10T00:00:00.000,in_violazione_cds
44304703,CIPBITMM,Nexi,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,36.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304702,CIPBITMM,Nexi,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,17.90,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304701,CIPBITMM,Nexi,92013170136,Provincia di Lecco,23900,LC,300.00,2026-02-10T00:00:00.000,utilizzomonastero
44304700,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-10T00:00:00.000,ts_sanamm
44304699,ABI03062,Banca Mediolanum SpA,82001750130,Comune di Lurago D'erba,22040,CO,120.00,2026-02-10T00:00:00.000,pj_mensascolastica
44304696,ABI36080,Admiral Pay IP S.r.l.,80008750178,Provincia di Brescia,25121,BS,45.70,2026-02-10T00:00:00.000,os_verbali_pp
44304695,BCITITMM,Intesa Sanpaolo S.p.A,03510050127,ASST Dei Sette Laghi,21100,VA,25.00,2026-02-10T00:00:00.000,PRENOTA_SALUTE
44304694,ABI08692,CREDITO COOPERATIVO DI BRESCIA,00761890177,Comune di Brescia,25121,BS,57.49,2026-02-10T00:00:00.000,ts_sanamm
44304693,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,265.74,2026-02-10T00:00:00.000,Tassa Auto
44304669,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,0.70,2026-02-10T00:00:00.000,pedaggi
44304668,BCITITMM,Intesa Sanpaolo S.p.A,01310880156,Comune di Abbiategrasso,20081,MI,433.00,2026-02-10T00:00:00.000,mg_costruzione
44304667,ABI03069,Intesa Sanpaolo S.p.A,00632150173,Comune di Rodengo Saiano,25050,BS,174.96,2026-02-10T00:00:00.000,pj_pastidomicilio
44304666,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,457.88,2026-02-10T00:00:00.000,Tassa Auto
44304665,WOLLNLB1,Worldpay BV,80005370137,Comune di Como,22100,CO,51.40,2026-02-10T00:00:00.000,meg_preavvisi_cds
44304664,POSOIT22XXX,Banca Popolare di Sondrio,00789430170,Comune di Corte Franca,25040,BS,50.00,2026-02-10T00:00:00.000,im_mensascolastica
44304663,ABI03069,Intesa Sanpaolo S.p.A,00632150173,Comune di Rodengo Saiano,25050,BS,196.83,2026-02-10T00:00:00.000,pj_pastidomicilio
44304662,UNCRITMM,UniCredit S.p.A.,00832210173,Comune di Lonato del Garda,25017,BS,38.07,2026-02-10T00:00:00.000,os_violazionecds_lonato
44304661,BCITITMM,Intesa Sanpaolo S.p.A,09322180960,ASST di Lodi,26900,LO,33.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304660,CIPBITMM,Nexi,00405070129,Comune di Lavena Ponte Tresa,21037,VA,29.40,2026-02-10T00:00:00.000,violazionecds
44304659,SELBIT2B,Banca Sella S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.56,2026-02-10T00:00:00.000,solleciti
44304658,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,42.00,2026-02-10T00:00:00.000,violazionecodicestrada
44304657,SATYLUL1,Satispay,00761890177,Comune di Brescia,25121,BS,29.40,2026-02-10T00:00:00.000,ts_sanamm
44304647,ABI08440,BCC DI CARATE BRIANZA,00232910166,Comune di Dalmine,24044,BG,1182.00,2026-02-10T00:00:00.000,GLB_SUE_DIRITTI_SEGR_ISTRUTTORIA
44304646,SATYLUL1,Satispay,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,36.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304640,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,44.40,2026-02-10T00:00:00.000,os_verbali_pp
44304639,ABI03296,Banca Fideuram,00828590158,Comune di San Donato Milanese,20097,MI,130.00,2026-02-10T00:00:00.000,TRIBTARI
44304638,SATYLUL1,Satispay,09322180960,ASST di Lodi,26900,LO,17.90,2026-02-10T00:00:00.000,PRENOTA_SALUTE
44304637,ABI03069,Intesa Sanpaolo S.p.A,01629350198,ASST di Crema,26013,CR,11.60,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304636,ABI03069,Intesa Sanpaolo S.p.A,02613080189,ASST di Pavia,27100,PV,25.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
44304635,ABI03069,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,20.00,2026-02-10T00:00:00.000,ASST926_CONC
44304634,ABI01030,Banca Monte dei Paschi di Siena,85001870188,Comune di Vigevano,27029,PV,27.21,2026-02-10T00:00:00.000,gm_cimit_votive
44304633,CIPBITMM,Nexi,05017630152,ARIA S.p.A.,20154,MI,50.00,2026-02-10T00:00:00.000,CENED ricarica portafoglio
44304632,SELBIT2B,Banca Sella S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,5.00,2026-02-10T00:00:00.000,ASST925_DONAZ
44304631,ABI03385,Isy Bank S.p.A.,03775830981,ASST della Valcamonica,25043,BS,36.00,2026-02-10T00:00:00.000,TICKET_SANITARIO
